Código;Tipo de institución;Nombre de institución;"Acreditación institución 
(Al 30 de octubre 2020)";Área;Nombre carrera genérica;Nombre carrera (del título);% titulados con continuidad de estudios;Retención 1er año; Duración Real (semestres) ;Empleabilidad 1er año;Empleabilidad 2° año;Ingreso promedio al 4° año de titulación
218;Centros de Formación Técnica;Centro de Formación Técnica de ENAC;6 años;Salud;Técnico en Radiología y Radioterapia;Técnico en Imagenología y Radioterapia;1.4%;82.2%; 6.9 ;68.1%;78.0%;De $500 mil a $600 mil
218;Centros de Formación Técnica;Centro de Formación Técnica de ENAC;6 años;Ciencias Sociales;Técnico en Servicio Social;Técnico en Trabajo Social;20.2%;79.3%; 6.3 ;34.8%;54.8%;s/i
536;Centros de Formación Técnica;Centro de Formación Técnica de Tarapacá;3 años;Agropecuaria;Técnico Agropecuario;Técnico Agrícola;32.9%;64.2%; 6.2 ;49.0%;52.4%;s/i
536;Centros de Formación Técnica;Centro de Formación Técnica de Tarapacá;3 años;Educación;Técnico Asistente del Educador de Párvulos;Técnico en Educación Parvularia y Primer Ciclo Básico;30.3%;86.5%; 5.3 ;12.6%;17.6%;s/i
536;Centros de Formación Técnica;Centro de Formación Técnica de Tarapacá;3 años;Educación;Técnico Asistente del Educador Diferencial;Técnico en Educación Especial;34.7%;85.7%; 5.5 ;12.8%;15.8%;s/i
536;Centros de Formación Técnica;Centro de Formación Técnica de Tarapacá;3 años;Administración y Comercio;Técnico en Administración de Empresas;Técnico en Administración de Empresas;31.5%;77.5%; 5.3 ;37.1%;47.9%;s/i
536;Centros de Formación Técnica;Centro de Formación Técnica de Tarapacá;3 años;Educación;Técnico en Deporte, Recreación y Preparación Física;Técnico en Deporte y Recreación;48.3%;80.0%; 5.6 ;19.2%;18.5%;s/i
536;Centros de Formación Técnica;Centro de Formación Técnica de Tarapacá;3 años;Tecnología;Técnico en Electricidad y Electricidad Industrial;Técnico en Proyectos Eléctricos de Distribución;10.3%;58.8%; 6.4 ;41.2%;52.8%;s/i
536;Centros de Formación Técnica;Centro de Formación Técnica de Tarapacá;3 años;Salud;Técnico en Enfermería;Técnico en Enfermería;8.3%;77.6%; 6.0 ;21.4%;37.5%;s/i
536;Centros de Formación Técnica;Centro de Formación Técnica de Tarapacá;3 años;Ciencias Básicas;Técnico en Geología;Técnico de Nivel Superior en Geología;23.3%;85.7%; 8.3 ;25.0%;33.3%;s/i
536;Centros de Formación Técnica;Centro de Formación Técnica de Tarapacá;3 años;Salud;Técnico en Laboratorio Clínico;Técnico de Nivel Superior en Laboratorista Clínico, Banco de Sangre e Imagenología;17.3%;83.3%; 6.4 ;18.0%;n/a;s/i
536;Centros de Formación Técnica;Centro de Formación Técnica de Tarapacá;3 años;Ciencias Sociales;Técnico en Servicio Social;Técnico de Nivel Superior en Trabajo Social;34.9%;88.6%; 5.9 ;26.3%;35.9%;s/i
536;Centros de Formación Técnica;Centro de Formación Técnica de Tarapacá;3 años;Derecho;Técnico Jurídico;Asistente Jurídico;23.8%;87.5%; 5.2 ;25.0%;27.3%;s/i
435;Centros de Formación Técnica;Centro de Formación Técnica del Medio Ambiente;3 años;Agropecuaria;Técnico Agropecuario;Técnico en Agricultura Ecológica;7.1%;47.0%; 7.2 ;37.7%;55.2%;s/i
435;Centros de Formación Técnica;Centro de Formación Técnica del Medio Ambiente;3 años;;Técnico en Diseño de Áreas Verdes y Paisajismo;Paisajismo Sustentable;1.0%;33.3%; 6.3 ;49.1%;n/a;s/i
435;Centros de Formación Técnica;Centro de Formación Técnica del Medio Ambiente;3 años;Salud;Técnico en Terapias Naturales y Naturopatía;Técnico en Salud y Terapias Naturales, y Salud, Terapia Floral y Plantas Medicinales;4.0%;36.7%; 6.3 ;21.8%;28.7%;De $500 mil a $600 mil
435;Centros de Formación Técnica;Centro de Formación Técnica del Medio Ambiente;3 años;Administración y Comercio;Técnico en Turismo y Hotelería;Técnico en Ecoturismo;3.8%;37.1%; 7.2 ;27.3%;37.1%;s/i
435;Centros de Formación Técnica;Centro de Formación Técnica del Medio Ambiente;3 años;Agropecuaria;Técnico Veterinario;Técnico Veterinario;9.8%;40.0%; 7.8 ;53.6%;54.1%;s/i
221;Centros de Formación Técnica;Centro de Formación Técnica DUOC;No;Administración y Comercio;Técnico en Administración de Empresas;Técnico en Administración de Empresas;25.8%;s/i; s/i ;56.1%;66.3%;De $600 mil a $700 mil
221;Centros de Formación Técnica;Centro de Formación Técnica DUOC;No;Administración y Comercio;Técnico en Administración de Recursos Humanos y Personal;Técnico en Administración de Recursos Humanos;23.3%;s/i; s/i ;65.6%;72.8%;De $600 mil a $700 mil
221;Centros de Formación Técnica;Centro de Formación Técnica DUOC;No;Tecnología;Técnico en Administración de Redes y Soporte;Técnico en Administración de Redes Computacionales;31.8%;s/i; s/i ;74.5%;77.8%;De $700 mil a $800 mil
221;Centros de Formación Técnica;Centro de Formación Técnica DUOC;No;Administración y Comercio;Técnico en Administración Financiera y Finanzas;Técnico en Servicios Financieros y Bancarios, y en Administración Financiera;23.8%;s/i; s/i ;83.1%;82.9%;De $800 mil a $900 mil
221;Centros de Formación Técnica;Centro de Formación Técnica DUOC;No;Administración y Comercio;Técnico en Comercio Exterior;Técnico en Comercio Exterior;17.0%;s/i; s/i ;66.9%;74.6%;De $700 mil a $800 mil
221;Centros de Formación Técnica;Centro de Formación Técnica DUOC;No;Tecnología;Técnico en Computación e Informática;Técnico Analista Programador Computacional;26.7%;s/i; s/i ;84.3%;85.6%;De $1 millón a $1 millón 100 mil
221;Centros de Formación Técnica;Centro de Formación Técnica DUOC;No;Administración y Comercio;Técnico en Contabilidad Tributaria;Contabilidad General Mención Tributaria  ;33.0%;s/i; s/i ;74.7%;76.0%;De $800 mil a $900 mil
221;Centros de Formación Técnica;Centro de Formación Técnica DUOC;No;Administración y Comercio;Técnico en Gastronomía y Cocina;Técnico en Gastronomía;5.2%;s/i; s/i ;50.4%;52.8%;De $500 mil a $600 mil
221;Centros de Formación Técnica;Centro de Formación Técnica DUOC;No;Administración y Comercio;Técnico en Logística;Técnico en Gestión Logística;25.6%;s/i; s/i ;77.7%;84.2%;De $800 mil a $900 mil
221;Centros de Formación Técnica;Centro de Formación Técnica DUOC;No;Tecnología;Técnico en Mecánica Automotriz;Técnico en Mecánica Automotriz y Autotrónica;18.0%;s/i; s/i ;54.4%;59.6%;De $500 mil a $600 mil
221;Centros de Formación Técnica;Centro de Formación Técnica DUOC;No;Tecnología;Técnico en Prevención de Riesgos;Técnico en Prevención de Riesgos;21.0%;s/i; s/i ;37.5%;45.8%;s/i
221;Centros de Formación Técnica;Centro de Formación Técnica DUOC;No;Administración y Comercio;Técnico en Turismo y Hotelería;Turismo Técnico, Turismo Aventura y Administración Hotelera;6.3%;s/i; s/i ;47.1%;57.8%;De $500 mil a $600 mil
398;Centros de Formación Técnica;Centro de Formación Técnica EDUCAP;No;Educación;Técnico Asistente del Educador de Párvulos;Técnico en Educación Parvularia y Básica;4.0%;68.9%; 6.5 ;31.9%;49.1%;De $400 mil a $500 mil
398;Centros de Formación Técnica;Centro de Formación Técnica EDUCAP;No;Educación;Técnico Asistente del Educador Diferencial;Técnico en Educación Especial;9.1%;76.9%; s/i ;17.6%;20.0%;s/i
730;Centros de Formación Técnica;Centro de Formación Técnica Escuela Culinaria Francesa;No;Administración y Comercio;Técnico en Gastronomía y Cocina;Diplome Superieur Ecole Culinaire Francaise;2.7%;56.5%; 4.3 ;17.1%;33.1%;s/i
374;Centros de Formación Técnica;Centro de Formación Técnica ICEL;No;Administración y Comercio;Secretariado Bilingüe;Secretariado Gerencial Bilingüe;5.6%;s/i; s/i ;58.5%;56.5%;De $500 mil a $600 mil
374;Centros de Formación Técnica;Centro de Formación Técnica ICEL;No;Educación;Técnico Asistente del Educador de Párvulos;Técnico en Educación Parvularia;11.6%;89.8%; s/i ;55.6%;62.0%;De $400 mil a $500 mil
374;Centros de Formación Técnica;Centro de Formación Técnica ICEL;No;Salud;Técnico Dental y Asistente de Odontología;Técnico en Odontología;1.4%;s/i; s/i ;59.2%;67.7%;De $500 mil a $600 mil
374;Centros de Formación Técnica;Centro de Formación Técnica ICEL;No;Administración y Comercio;Técnico en Administración de Empresas;Técnico en Administración y Gestión de Empresas;16.1%;s/i; s/i ;69.7%;73.7%;De $700 mil a $800 mil
374;Centros de Formación Técnica;Centro de Formación Técnica ICEL;No;Tecnología;Técnico en Administración de Redes y Soporte;Técnico en Soporte Computacional;6.6%;s/i; s/i ;74.0%;81.2%;s/i
374;Centros de Formación Técnica;Centro de Formación Técnica ICEL;No;Educación;Técnico en Deporte, Recreación y Preparación Física;Preparador Físico;7.8%;s/i; s/i ;59.2%;53.7%;s/i
374;Centros de Formación Técnica;Centro de Formación Técnica ICEL;No;Salud;Técnico en Enfermería;Técnico en Enfermería;2.8%;52.1%; s/i ;56.9%;69.8%;De $500 mil a $600 mil
374;Centros de Formación Técnica;Centro de Formación Técnica ICEL;No;Administración y Comercio;Técnico en Gastronomía y Cocina;Técnico en Cocina Nacional e Internacional;3.3%;s/i; s/i ;51.9%;61.3%;De $500 mil a $600 mil
374;Centros de Formación Técnica;Centro de Formación Técnica ICEL;No;Tecnología;Técnico en Prevención de Riesgos;Técnico en Prevención de Riesgos y Medio Ambiente;11.5%;s/i; s/i ;44.3%;57.6%;De $600 mil a $700 mil
430;Centros de Formación Técnica;Centro de Formación Técnica INACAP;7 años;Agropecuaria;Técnico Agropecuario;Tecnología Agrícola, Pecuaria y Ganadera;24.0%;66.1%; 7.0 ;39.1%;54.8%;De $600 mil a $700 mil
430;Centros de Formación Técnica;Centro de Formación Técnica INACAP;7 años;Salud;Técnico Dental y Asistente de Odontología;Técnico en Odontología;5.8%;78.5%; 5.6 ;53.5%;55.3%;De $400 mil a $500 mil
430;Centros de Formación Técnica;Centro de Formación Técnica INACAP;7 años;Administración y Comercio;Técnico en Administración de Empresas;Técnico en Administración de Empresas;49.7%;70.2%; 6.4 ;57.7%;65.7%;De $700 mil a $800 mil
430;Centros de Formación Técnica;Centro de Formación Técnica INACAP;7 años;Administración y Comercio;Técnico en Comercio Exterior;Técnico en Comercio Exterior;32.4%;61.5%; 6.3 ;58.6%;70.3%;De $800 mil a $900 mil
430;Centros de Formación Técnica;Centro de Formación Técnica INACAP;7 años;Tecnología;Técnico en Computación e Informática;Técnico Analista Programador;24.3%;71.9%; 7.8 ;65.5%;74.0%;De $800 mil a $900 mil
430;Centros de Formación Técnica;Centro de Formación Técnica INACAP;7 años;Tecnología;Técnico en Construcción y Obras Civiles;Técnico en Edificación;57.1%;53.9%; 7.3 ;48.5%;60.7%;De $700 mil a $800 mil
430;Centros de Formación Técnica;Centro de Formación Técnica INACAP;7 años;Administración y Comercio;Técnico en Contabilidad General;Técnico en Contabilidad General;48.9%;73.9%; 6.4 ;68.3%;72.8%;De $800 mil a $900 mil
430;Centros de Formación Técnica;Centro de Formación Técnica INACAP;7 años;Arte y Arquitectura;Técnico en Dibujo Arquitectónico;Técnico en Dibujo de Proyectos de Arquitectura e Ingeniería;11.5%;s/i; s/i ;68.4%;75.5%;De $700 mil a $800 mil
430;Centros de Formación Técnica;Centro de Formación Técnica INACAP;7 años;Tecnología;Técnico en Electricidad y Electricidad Industrial;Técnico en Electricidad Industrial;23.8%;69.6%; 7.8 ;68.0%;76.2%;De $800 mil a $900 mil
430;Centros de Formación Técnica;Centro de Formación Técnica INACAP;7 años;Tecnología;Técnico en Electrónica y Electrónica Industrial;Técnico en Electrónica Industrial;30.4%;64.6%; 7.5 ;71.5%;78.0%;De $800 mil a $900 mil
430;Centros de Formación Técnica;Centro de Formación Técnica INACAP;7 años;Salud;Técnico en Enfermería;Técnico en Enfermería;6.5%;83.6%; 5.8 ;47.5%;61.7%;De $500 mil a $600 mil
430;Centros de Formación Técnica;Centro de Formación Técnica INACAP;7 años;Salud;Técnico en Farmacia;Técnico en Farmacia;17.2%;81.4%; 5.5 ;52.8%;66.0%;s/i
430;Centros de Formación Técnica;Centro de Formación Técnica INACAP;7 años;Administración y Comercio;Técnico en Gastronomía y Cocina;Técnico en Gastronomía Internacional;14.0%;70.1%; 6.4 ;32.7%;41.0%;De $500 mil a $600 mil
430;Centros de Formación Técnica;Centro de Formación Técnica INACAP;7 años;Tecnología;Técnico en Instrumentación, Automatización y Control Industrial;Técnico en Automatización y Control Industrial;33.8%;69.5%; 6.9 ;72.9%;82.7%;De $900 mil a $1 millón
430;Centros de Formación Técnica;Centro de Formación Técnica INACAP;7 años;Salud;Técnico en Laboratorio Clínico;Técnico Laboratorista Clínico, Banco de Sangre e Imagenología;9.8%;81.7%; 6.1 ;46.1%;62.3%;De $500 mil a $600 mil
430;Centros de Formación Técnica;Centro de Formación Técnica INACAP;7 años;Administración y Comercio;Técnico en Logística;Técnico en Logística y Operaciones Industriales;56.3%;72.3%; 5.9 ;68.7%;70.4%;De $800 mil a $900 mil
430;Centros de Formación Técnica;Centro de Formación Técnica INACAP;7 años;Tecnología;Técnico en Mantenimiento Industrial;Técnico en Mantenimiento Industrial;34.3%;68.6%; 6.6 ;65.8%;76.8%;De $900 mil a $1 millón
430;Centros de Formación Técnica;Centro de Formación Técnica INACAP;7 años;Tecnología;Técnico en Mecánica Automotriz;Técnico en Mecánica Automotriz en Sistemas Eléctricos y Maquinarias Pesadas;28.1%;64.4%; 7.0 ;59.5%;68.3%;De $700 mil a $800 mil
430;Centros de Formación Técnica;Centro de Formación Técnica INACAP;7 años;Tecnología;Técnico en Mecánica Industrial;Técnico en Mecánica en Producción Industrial;29.1%;53.9%; 6.8 ;72.8%;78.1%;De $700 mil a $800 mil
430;Centros de Formación Técnica;Centro de Formación Técnica INACAP;7 años;Tecnología;Técnico en Minería y Metalurgia;Técnico y Tecnología en Minería y en Metalurgia;44.6%;59.9%; 8.3 ;59.8%;73.6%;De $900 mil a $1 millón
430;Centros de Formación Técnica;Centro de Formación Técnica INACAP;7 años;Tecnología;Técnico en Prevención de Riesgos;Técnico en Prevención de Riesgos;29.7%;55.3%; 8.7 ;41.6%;54.8%;De $700 mil a $800 mil
430;Centros de Formación Técnica;Centro de Formación Técnica INACAP;7 años;Tecnología;Técnico en Procesos Industriales;Técnico en Fabricación y Montaje Industrial;14.6%;56.6%; 6.3 ;69.5%;76.2%;De $700 mil a $800 mil
430;Centros de Formación Técnica;Centro de Formación Técnica INACAP;7 años;Arte y Arquitectura;Técnico en Producción Gráfica y Multimedia;Técnico en Diseño y Programación Multimedia, y en Producción Gráfica;18.0%;62.3%; 7.2 ;30.2%;47.2%;De $700 mil a $800 mil
430;Centros de Formación Técnica;Centro de Formación Técnica INACAP;7 años;Ciencias Básicas;Técnico en Química (Análisis e Industrial);Tecnología en Análisis Químico;25.1%;68.8%; 7.7 ;77.7%;83.2%;De $700 mil a $800 mil
430;Centros de Formación Técnica;Centro de Formación Técnica INACAP;7 años;Tecnología;Técnico en Refrigeración y Climatización;Técnico en Refrigeración y Climatización;33.8%;63.5%; 6.5 ;75.4%;77.5%;De $700 mil a $800 mil
430;Centros de Formación Técnica;Centro de Formación Técnica INACAP;7 años;Tecnología;Técnico en Telecomunicaciones;Técnico en Telecomunicaciones, Conectividad y Redes;30.2%;55.5%; 7.1 ;66.8%;71.8%;De $700 mil a $800 mil
430;Centros de Formación Técnica;Centro de Formación Técnica INACAP;7 años;Tecnología;Técnico en Topografía;Técnico en Topografía;19.2%;68.1%; 6.9 ;58.6%;63.0%;De $800 mil a $900 mil
430;Centros de Formación Técnica;Centro de Formación Técnica INACAP;7 años;Administración y Comercio;Técnico en Turismo y Hotelería;Técnico en Turismo, en Hotelería y Restaurantes, y Hotelería y Servicios;11.3%;71.2%; 6.3 ;29.2%;39.7%;De $500 mil a $600 mil
214;Centros de Formación Técnica;Centro de Formación Técnica Instituto Central de Capacitación Educacional ICCE;No;Educación;Técnico Asistente del Educador de Párvulos;Técnico en Educación de Párvulos;5.2%;s/i; s/i ;45.6%;66.1%;De $400 mil a $500 mil
328;Centros de Formación Técnica;Centro de Formación Técnica Instituto Superior de Estudios Jurídicos CANON;No;Educación;Técnico Asistente del Educador de Párvulos;Técnico en Educación de Párvulos;5.5%;70.0%; 6.0 ;35.4%;37.9%;De $400 mil a $500 mil
328;Centros de Formación Técnica;Centro de Formación Técnica Instituto Superior de Estudios Jurídicos CANON;No;Salud;Técnico en Enfermería;Técnico en Enfermería;0.7%;75.0%; 6.1 ;21.7%;42.6%;De $500 mil a $600 mil
390;Centros de Formación Técnica;Centro de Formación Técnica Instituto Técnológico de Chile - I.T.C.;No;Educación;Técnico Asistente del Educador de Párvulos;Técnico en Educación Parvularia;20.0%;s/i; s/i ;46.0%;60.0%;s/i
390;Centros de Formación Técnica;Centro de Formación Técnica Instituto Técnológico de Chile - I.T.C.;No;Administración y Comercio;Técnico en Administración de Empresas;Técnico en Administración de Empresas;11.9%;s/i; 7.0 ;63.2%;75.8%;De $700 mil a $800 mil
390;Centros de Formación Técnica;Centro de Formación Técnica Instituto Técnológico de Chile - I.T.C.;No;Administración y Comercio;Técnico en Administración de Recursos Humanos y Personal;Técnico en Administración de Recursos Humanos;18.8%;s/i; s/i ;67.1%;61.5%;s/i
390;Centros de Formación Técnica;Centro de Formación Técnica Instituto Técnológico de Chile - I.T.C.;No;Salud;Técnico en Enfermería;Técnico en Enfermería;2.1%;s/i; 7.3 ;62.7%;66.0%;De $500 mil a $600 mil
390;Centros de Formación Técnica;Centro de Formación Técnica Instituto Técnológico de Chile - I.T.C.;No;Administración y Comercio;Técnico en Gastronomía y Cocina;Técnico en Gastronomía;1.6%;s/i; s/i ;60.9%;48.3%;s/i
390;Centros de Formación Técnica;Centro de Formación Técnica Instituto Técnológico de Chile - I.T.C.;No;Tecnología;Técnico en Prevención de Riesgos;Técnico en Prevención de Riesgos;17.1%;s/i; s/i ;47.2%;53.1%;De $600 mil a $700 mil
331;Centros de Formación Técnica;Centro de Formación Técnica IPROSEC;2 años;Educación;Técnico Asistente del Educador de Párvulos;Asistente de Párvulos y Aula;1.0%;69.5%; s/i ;17.9%;32.0%;s/i
331;Centros de Formación Técnica;Centro de Formación Técnica IPROSEC;2 años;Tecnología;Técnico en Electricidad y Electricidad Industrial;Técnico en Electricidad;5.9%;37.9%; 5.7 ;52.9%;68.9%;s/i
331;Centros de Formación Técnica;Centro de Formación Técnica IPROSEC;2 años;Salud;Técnico en Enfermería;Técnico en Enfermería;0.5%;46.7%; 5.7 ;27.1%;44.0%;De $500 mil a $600 mil
257;Centros de Formación Técnica;Centro de Formación Técnica Juan Bohon;3 años;Administración y Comercio;Técnico en Administración de Empresas;Técnico en Administración de Empresas;8.9%;59.3%; 5.5 ;62.1%;n/a;s/i
257;Centros de Formación Técnica;Centro de Formación Técnica Juan Bohon;3 años;Administración y Comercio;Técnico en Gastronomía y Cocina;Técnico en Gastronomía y Cocina Internacional;9.6%;60.4%; 6.0 ;21.2%;33.3%;s/i
257;Centros de Formación Técnica;Centro de Formación Técnica Juan Bohon;3 años;Tecnología;Técnico en Instrumentación, Automatización y Control Industrial;Técnico en Instrumentación y Automatización Industrial;25.7%;50.0%; 6.6 ;78.4%;86.1%;s/i
257;Centros de Formación Técnica;Centro de Formación Técnica Juan Bohon;3 años;Tecnología;Técnico en Mantenimiento Industrial;Técnico en Operación y Mantención de Maquinaria Pesada;9.8%;53.3%; s/i ;50.4%;60.7%;s/i
257;Centros de Formación Técnica;Centro de Formación Técnica Juan Bohon;3 años;Tecnología;Técnico en Mecánica Industrial;Técnica en Mecánico en Maquinaria Pesada;11.2%;70.4%; 5.6 ;64.9%;n/a;s/i
257;Centros de Formación Técnica;Centro de Formación Técnica Juan Bohon;3 años;Tecnología;Técnico en Topografía;Técnico en Topografía;6.3%;s/i; 7.5 ;64.9%;71.9%;De $600 mil a $700 mil
280;Centros de Formación Técnica;Centro de Formación Técnica Los Lagos;No;Educación;Técnico Asistente del Educador de Párvulos;Técnico en Educación Parvularia y Primer Ciclo;8.0%;73.4%; 5.1 ;37.7%;48.4%;De $400 mil a $500 mil
280;Centros de Formación Técnica;Centro de Formación Técnica Los Lagos;No;Educación;Técnico Asistente del Educador Diferencial;Técnico en Educación Diferencial;6.9%;66.7%; 5.1 ;19.4%;n/a;s/i
280;Centros de Formación Técnica;Centro de Formación Técnica Los Lagos;No;Ciencias Sociales;Técnico en Administración Pública o Municipal;Técnico en Administración Pública;39.0%;66.7%; 5.5 ;57.1%;n/a;s/i
280;Centros de Formación Técnica;Centro de Formación Técnica Los Lagos;No;Salud;Técnico en Enfermería;Técnico en Enfermería;2.2%;60.6%; 6.0 ;37.9%;57.2%;De $500 mil a $600 mil
450;Centros de Formación Técnica;Centro de Formación Técnica Lota-Arauco;4 años;Educación;Técnico Asistente del Educador de Párvulos;Técnico en Educación de Párvulos;4.8%;79.0%; 6.1 ;36.8%;62.2%;s/i
450;Centros de Formación Técnica;Centro de Formación Técnica Lota-Arauco;4 años;Administración y Comercio;Técnico en Administración de Empresas;Técnico en Administración de Empresas;14.6%;71.8%; 5.6 ;42.4%;54.7%;s/i
450;Centros de Formación Técnica;Centro de Formación Técnica Lota-Arauco;4 años;Ciencias Sociales;Técnico en Administración Pública o Municipal;Técnico en Administración Pública;18.9%;75.2%; 5.9 ;36.1%;43.2%;De $500 mil a $600 mil
